date,temperature_2m,precipitation,is_day,shortwave_radiation,global_tilted_irradiance
2025-02-14 05:45:00+00:00,10.25,0.0,1.0,0.0,0.0
2025-02-14 06:00:00+00:00,10.25,0.0,1.0,6.0,4.7454486
2025-02-14 06:15:00+00:00,10.4,0.0,1.0,27.0,20.88801
2025-02-14 06:30:00+00:00,10.6,0.0,1.0,57.0,43.682243
2025-02-14 06:45:00+00:00,10.9,0.0,1.0,89.0,66.503265
2025-02-14 07:00:00+00:00,11.2,0.0,1.0,120.0,93.01544
2025-02-14 07:15:00+00:00,11.65,0.0,1.0,147.0,120.04282
2025-02-14 07:30:00+00:00,12.15,0.0,1.0,173.0,146.48734
2025-02-14 07:45:00+00:00,12.65,0.0,1.0,200.0,174.10625
2025-02-14 08:00:00+00:00,13.05,0.0,1.0,225.0,200.62181
2025-02-14 08:15:00+00:00,13.35,0.0,1.0,249.0,226.90909
2025-02-14 08:30:00+00:00,13.6,0.0,1.0,271.0,252.30914
2025-02-14 08:45:00+00:00,13.8,0.0,1.0,292.0,277.7795
2025-02-14 09:00:00+00:00,13.95,0.0,1.0,312.0,303.1366
2025-02-14 09:15:00+00:00,14.1,0.0,1.0,329.0,326.33914
2025-02-14 09:30:00+00:00,14.25,0.0,1.0,347.0,351.6385
2025-02-14 09:45:00+00:00,14.35,0.0,1.0,367.0,380.74066
2025-02-14 10:00:00+00:00,14.5,0.0,1.0,392.0,417.99435
2025-02-14 10:15:00+00:00,14.7,0.0,1.0,417.0,457.81644
2025-02-14 10:30:00+00:00,14.9,0.0,1.0,438.0,494.53848
2025-02-14 10:45:00+00:00,15.1,0.0,1.0,451.0,521.517
2025-02-14 11:00:00+00:00,15.25,0.0,1.0,456.0,537.5534
2025-02-14 11:15:00+00:00,15.4,0.0,1.0,457.0,547.7181
2025-02-14 11:30:00+00:00,15.5,0.0,1.0,455.0,553.756
2025-02-14 11:45:00+00:00,15.55,0.0,1.0,454.0,562.6591
2025-02-14 12:00:00+00:00,15.6,0.0,1.0,453.0,572.4878
2025-02-14 12:15:00+00:00,15.65,0.0,1.0,451.0,581.4192
2025-02-14 12:30:00+00:00,15.6,0.0,1.0,443.0,582.88
2025-02-14 12:45:00+00:00,15.55,0.0,1.0,429.0,575.77625
2025-02-14 13:00:00+00:00,15.5,0.0,1.0,410.0,560.3914
2025-02-14 13:15:00+00:00,15.45,0.0,1.0,388.0,541.00543
2025-02-14 13:30:00+00:00,15.35,0.0,1.0,362.0,514.7631
2025-02-14 13:45:00+00:00,15.25,0.0,1.0,332.0,482.8527
2025-02-14 14:00:00+00:00,15.1,0.0,1.0,300.0,447.8197
2025-02-14 14:15:00+00:00,15.0,0.0,1.0,266.0,408.2568
2025-02-14 14:30:00+00:00,14.9,0.0,1.0,231.0,365.62534
2025-02-14 14:45:00+00:00,14.75,0.0,1.0,197.0,322.60983
2025-02-14 15:00:00+00:00,14.6,0.0,1.0,165.0,279.66257
2025-02-14 15:15:00+00:00,14.45,0.0,1.0,132.0,232.99005
2025-02-14 15:30:00+00:00,14.25,0.0,1.0,98.0,185.87611
2025-02-14 15:45:00+00:00,14.0,0.0,1.0,62.0,130.6728
2025-02-14 16:00:00+00:00,13.75,0.0,1.0,30.0,74.53556
2025-02-14 16:15:00+00:00,13.45,0.0,1.0,8.0,21.473778
2025-02-15 05:45:00+00:00,11.2,0.0,1.0,0.0,0.0
2025-02-15 06:00:00+00:00,11.25,0.0,1.0,5.0,4.732051
2025-02-15 06:15:00+00:00,11.4,0.0,1.0,19.0,17.981792
2025-02-15 06:30:00+00:00,11.65,0.0,1.0,39.0,35.976982
2025-02-15 06:45:00+00:00,11.9,0.0,1.0,65.0,55.918587
2025-02-15 07:00:00+00:00,12.1,0.0,1.0,93.0,77.438156
2025-02-15 07:15:00+00:00,12.35,0.0,1.0,127.0,104.966385
2025-02-15 07:30:00+00:00,12.55,0.0,1.0,161.0,135.0867
2025-02-15 07:45:00+00:00,12.75,0.0,1.0,192.0,164.74126
2025-02-15 08:00:00+00:00,12.9,0.0,1.0,220.0,192.88284
2025-02-15 08:15:00+00:00,13.05,0.2,1.0,244.0,219.43918
2025-02-15 08:30:00+00:00,13.15,0.2,1.0,263.0,243.23505
2025-02-15 08:45:00+00:00,13.25,0.2,1.0,277.0,263.2696
2025-02-15 09:00:00+00:00,13.3,0.2,1.0,284.0,275.63806
2025-02-15 09:15:00+00:00,13.4,0.3,1.0,284.0,279.059
2025-02-15 09:30:00+00:00,13.45,0.3,1.0,284.0,280.5675
2025-02-15 09:45:00+00:00,13.55,0.3,1.0,287.0,285.2966
2025-02-15 10:00:00+00:00,13.6,0.3,1.0,291.0,291.65036
2025-02-15 10:15:00+00:00,13.7,0.1,1.0,296.0,300.10455
2025-02-15 10:30:00+00:00,13.85,0.1,1.0,304.0,313.1365
2025-02-15 10:45:00+00:00,13.95,0.1,1.0,316.0,332.60056
2025-02-15 11:00:00+00:00,14.0,0.1,1.0,337.0,365.4079
2025-02-15 11:15:00+00:00,14.05,0.2,1.0,359.0,402.29816
2025-02-15 11:30:00+00:00,14.1,0.2,1.0,376.0,434.4813
2025-02-15 11:45:00+00:00,14.1,0.2,1.0,379.0,448.65228
2025-02-15 12:00:00+00:00,14.05,0.2,1.0,371.0,447.70624
2025-02-15 12:15:00+00:00,14.05,0.2,1.0,356.0,436.43445
2025-02-15 12:30:00+00:00,14.0,0.2,1.0,341.0,424.29224
2025-02-15 12:45:00+00:00,13.9,0.2,1.0,328.0,415.74667
2025-02-15 13:00:00+00:00,13.85,0.2,1.0,314.0,405.58972
2025-02-15 13:15:00+00:00,13.85,0.0,1.0,300.0,395.45782
2025-02-15 13:30:00+00:00,13.8,0.0,1.0,285.0,385.35352
