last_changed,entity_id,state
2024-07-21 06:00:00,sensor.fimer_inverter_dc_power,50
2024-07-21 06:15:00,sensor.fimer_inverter_dc_power,90
2024-07-21 06:30:00,sensor.fimer_inverter_dc_power,130
2024-07-21 06:45:00,sensor.fimer_inverter_dc_power,170
2024-07-21 07:00:00,sensor.fimer_inverter_dc_power,320
2024-07-21 07:15:00,sensor.fimer_inverter_dc_power,500
2024-07-21 07:30:00,sensor.fimer_inverter_dc_power,720
2024-07-21 07:45:00,sensor.fimer_inverter_dc_power,1010
2024-07-21 08:00:00,sensor.fimer_inverter_dc_power,1270
2024-07-21 08:15:00,sensor.fimer_inverter_dc_power,1470
2024-07-21 08:30:00,sensor.fimer_inverter_dc_power,1660
2024-07-21 08:45:00,sensor.fimer_inverter_dc_power,1900
2024-07-21 09:00:00,sensor.fimer_inverter_dc_power,2050
2024-07-21 09:15:00,sensor.fimer_inverter_dc_power,2220
2024-07-21 09:30:00,sensor.fimer_inverter_dc_power,2410
2024-07-21 09:45:00,sensor.fimer_inverter_dc_power,2560
2024-07-21 10:00:00,sensor.fimer_inverter_dc_power,2700
2024-07-21 10:15:00,sensor.fimer_inverter_dc_power,2860
2024-07-21 10:30:00,sensor.fimer_inverter_dc_power,3240
2024-07-21 10:45:00,sensor.fimer_inverter_dc_power,3130
2024-07-21 11:00:00,sensor.fimer_inverter_dc_power,3270
2024-07-21 11:15:00,sensor.fimer_inverter_dc_power,3330
2024-07-21 11:30:00,sensor.fimer_inverter_dc_power,3410
2024-07-21 11:45:00,sensor.fimer_inverter_dc_power,3370
2024-07-21 12:00:00,sensor.fimer_inverter_dc_power,1680
2024-07-21 12:15:00,sensor.fimer_inverter_dc_power,3510
2024-07-21 12:30:00,sensor.fimer_inverter_dc_power,3410
2024-07-21 12:45:00,sensor.fimer_inverter_dc_power,3450
2024-07-21 13:00:00,sensor.fimer_inverter_dc_power,3590
2024-07-21 13:15:00,sensor.fimer_inverter_dc_power,740
2024-07-21 13:30:00,sensor.fimer_inverter_dc_power,1020
2024-07-21 13:45:00,sensor.fimer_inverter_dc_power,1150
2024-07-21 14:00:00,sensor.fimer_inverter_dc_power,3510
2024-07-21 14:15:00,sensor.fimer_inverter_dc_power,3520
2024-07-21 14:30:00,sensor.fimer_inverter_dc_power,860
2024-07-21 14:45:00,sensor.fimer_inverter_dc_power,880
2024-07-21 15:00:00,sensor.fimer_inverter_dc_power,650
2024-07-21 15:15:00,sensor.fimer_inverter_dc_power,860
2024-07-21 15:30:00,sensor.fimer_inverter_dc_power,2990
