entity_id,state,last_changed
sensor.fimer_inverter_dc_power,50,2024-07-21 06:00:48.298
sensor.fimer_inverter_dc_power,60,2024-07-21 06:04:48.325
sensor.fimer_inverter_dc_power,50,2024-07-21 06:05:18.248
sensor.fimer_inverter_dc_power,60,2024-07-21 06:05:48.183
sensor.fimer_inverter_dc_power,70,2024-07-21 06:08:48.239
sensor.fimer_inverter_dc_power,60,2024-07-21 06:09:18.252
sensor.fimer_inverter_dc_power,70,2024-07-21 06:09:48.275
sensor.fimer_inverter_dc_power,80,2024-07-21 06:12:48.294
sensor.fimer_inverter_dc_power,70,2024-07-21 06:13:18.236
sensor.fimer_inverter_dc_power,80,2024-07-21 06:13:48.344
sensor.fimer_inverter_dc_power,90,2024-07-21 06:16:48.316
sensor.fimer_inverter_dc_power,80,2024-07-21 06:17:18.332
sensor.fimer_inverter_dc_power,90,2024-07-21 06:17:48.213
sensor.fimer_inverter_dc_power,100,2024-07-21 06:19:48.219
sensor.fimer_inverter_dc_power,110,2024-07-21 06:23:18.212
sensor.fimer_inverter_dc_power,120,2024-07-21 06:26:48.282
sensor.fimer_inverter_dc_power,130,2024-07-21 06:30:18.209
sensor.fimer_inverter_dc_power,140,2024-07-21 06:34:48.351
sensor.fimer_inverter_dc_power,150,2024-07-21 06:39:18.179
sensor.fimer_inverter_dc_power,160,2024-07-21 06:42:49.311
sensor.fimer_inverter_dc_power,150,2024-07-21 06:43:19.255
sensor.fimer_inverter_dc_power,160,2024-07-21 06:43:49.391
sensor.fimer_inverter_dc_power,170,2024-07-21 06:47:19.179
sensor.fimer_inverter_dc_power,180,2024-07-21 06:48:49.237
sensor.fimer_inverter_dc_power,190,2024-07-21 06:50:19.246
sensor.fimer_inverter_dc_power,200,2024-07-21 06:51:49.213
sensor.fimer_inverter_dc_power,210,2024-07-21 06:52:19.244
sensor.fimer_inverter_dc_power,240,2024-07-21 06:52:49.288
sensor.fimer_inverter_dc_power,260,2024-07-21 06:53:19.295
sensor.fimer_inverter_dc_power,250,2024-07-21 06:53:49.381
sensor.fimer_inverter_dc_power,280,2024-07-21 06:54:19.180
sensor.fimer_inverter_dc_power,300,2024-07-21 06:54:49.360
sensor.fimer_inverter_dc_power,320,2024-07-21 06:55:19.300
sensor.fimer_inverter_dc_power,290,2024-07-21 06:55:49.402
sensor.fimer_inverter_dc_power,260,2024-07-21 06:56:19.195
sensor.fimer_inverter_dc_power,310,2024-07-21 06:56:49.378
sensor.fimer_inverter_dc_power,320,2024-07-21 06:57:49.230
sensor.fimer_inverter_dc_power,310,2024-07-21 06:58:49.234
sensor.fimer_inverter_dc_power,300,2024-07-21 06:59:19.245
sensor.fimer_inverter_dc_power,330,2024-07-21 06:59:49.318
sensor.fimer_inverter_dc_power,320,2024-07-21 07:00:19.176
sensor.fimer_inverter_dc_power,280,2024-07-21 07:00:49.207
sensor.fimer_inverter_dc_power,360,2024-07-21 07:01:19.364
sensor.fimer_inverter_dc_power,330,2024-07-21 07:01:49.255
sensor.fimer_inverter_dc_power,260,2024-07-21 07:02:19.181
sensor.fimer_inverter_dc_power,290,2024-07-21 07:03:19.312
sensor.fimer_inverter_dc_power,320,2024-07-21 07:03:49.256
sensor.fimer_inverter_dc_power,290,2024-07-21 07:04:19.237
sensor.fimer_inverter_dc_power,360,2024-07-21 07:04:49.246
sensor.fimer_inverter_dc_power,310,2024-07-21 07:05:19.290
sensor.fimer_inverter_dc_power,290,2024-07-21 07:05:49.205
sensor.fimer_inverter_dc_power,390,2024-07-21 07:06:19.162
sensor.fimer_inverter_dc_power,380,2024-07-21 07:06:49.351
sensor.fimer_inverter_dc_power,420,2024-07-21 07:07:19.277
sensor.fimer_inverter_dc_power,450,2024-07-21 07:07:49.310
sensor.fimer_inverter_dc_power,460,2024-07-21 07:08:19.234
sensor.fimer_inverter_dc_power,470,2024-07-21 07:08:49.337
sensor.fimer_inverter_dc_power,440,2024-07-21 07:09:19.281
sensor.fimer_inverter_dc_power,450,2024-07-21 07:09:49.330
sensor.fimer_inverter_dc_power,430,2024-07-21 07:10:19.278
sensor.fimer_inverter_dc_power,440,2024-07-21 07:10:49.253
sensor.fimer_inverter_dc_power,430,2024-07-21 07:11:49.165
sensor.fimer_inverter_dc_power,440,2024-07-21 07:12:19.163
sensor.fimer_inverter_dc_power,450,2024-07-21 07:12:49.233
sensor.fimer_inverter_dc_power,460,2024-07-21 07:13:19.187
sensor.fimer_inverter_dc_power,450,2024-07-21 07:13:49.433
sensor.fimer_inverter_dc_power,460,2024-07-21 07:14:19.397
sensor.fimer_inverter_dc_power,480,2024-07-21 07:14:49.287
sensor.fimer_inverter_dc_power,500,2024-07-21 07:15:19.406
sensor.fimer_inverter_dc_power,490,2024-07-21 07:16:19.184
sensor.fimer_inverter_dc_power,510,2024-07-21 07:16:49.293
sensor.fimer_inverter_dc_power,530,2024-07-21 07:17:49.247
sensor.fimer_inverter_dc_power,540,2024-07-21 07:18:49.207
sensor.fimer_inverter_dc_power,570,2024-07-21 07:19:19.315
sensor.fimer_inverter_dc_power,590,2024-07-21 07:19:49.221
sensor.fimer_inverter_dc_power,610,2024-07-21 07:20:19.340
sensor.fimer_inverter_dc_power,620,2024-07-21 07:20:49.222
sensor.fimer_inverter_dc_power,610,2024-07-21 07:21:19.300
sensor.fimer_inverter_dc_power,620,2024-07-21 07:21:49.343
sensor.fimer_inverter_dc_power,650,2024-07-21 07:22:19.349
sensor.fimer_inverter_dc_power,640,2024-07-21 07:22:49.287
sensor.fimer_inverter_dc_power,600,2024-07-21 07:23:19.373
sensor.fimer_inverter_dc_power,630,2024-07-21 07:24:19.203
sensor.fimer_inverter_dc_power,600,2024-07-21 07:24:49.317
sensor.fimer_inverter_dc_power,620,2024-07-21 07:25:19.387
sensor.fimer_inverter_dc_power,740,2024-07-21 07:25:49.179
sensor.fimer_inverter_dc_power,710,2024-07-21 07:26:19.164
sensor.fimer_inverter_dc_power,620,2024-07-21 07:26:49.218
sensor.fimer_inverter_dc_power,700,2024-07-21 07:27:19.271
sensor.fimer_inverter_dc_power,710,2024-07-21 07:27:49.360
sensor.fimer_inverter_dc_power,690,2024-07-21 07:28:19.388
sensor.fimer_inverter_dc_power,650,2024-07-21 07:29:19.196
sensor.fimer_inverter_dc_power,770,2024-07-21 07:29:49.195
sensor.fimer_inverter_dc_power,720,2024-07-21 07:30:19.214
sensor.fimer_inverter_dc_power,670,2024-07-21 07:30:49.255
sensor.fimer_inverter_dc_power,710,2024-07-21 07:31:19.329
sensor.fimer_inverter_dc_power,750,2024-07-21 07:31:49.265
sensor.fimer_inverter_dc_power,650,2024-07-21 07:32:19.258
sensor.fimer_inverter_dc_power,630,2024-07-21 07:32:49.262
sensor.fimer_inverter_dc_power,590,2024-07-21 07:33:19.350
sensor.fimer_inverter_dc_power,650,2024-07-21 07:33:49.235
sensor.fimer_inverter_dc_power,640,2024-07-21 07:34:49.214
sensor.fimer_inverter_dc_power,670,2024-07-21 07:35:19.212
sensor.fimer_inverter_dc_power,710,2024-07-21 07:35:49.295
sensor.fimer_inverter_dc_power,720,2024-07-21 07:36:19.279
sensor.fimer_inverter_dc_power,740,2024-07-21 07:36:49.288
sensor.fimer_inverter_dc_power,800,2024-07-21 07:37:19.239
sensor.fimer_inverter_dc_power,820,2024-07-21 07:37:49.263
sensor.fimer_inverter_dc_power,840,2024-07-21 07:38:19.289
sensor.fimer_inverter_dc_power,820,2024-07-21 07:38:49.154
sensor.fimer_inverter_dc_power,810,2024-07-21 07:39:19.276
sensor.fimer_inverter_dc_power,870,2024-07-21 07:40:19.344
sensor.fimer_inverter_dc_power,840,2024-07-21 07:40:49.371
sensor.fimer_inverter_dc_power,940,2024-07-21 07:41:49.230
sensor.fimer_inverter_dc_power,910,2024-07-21 07:42:19.266
sensor.fimer_inverter_dc_power,940,2024-07-21 07:43:19.270
sensor.fimer_inverter_dc_power,990,2024-07-21 07:44:19.200
sensor.fimer_inverter_dc_power,1000,2024-07-21 07:44:49.214
sensor.fimer_inverter_dc_power,1010,2024-07-21 07:45:19.322
sensor.fimer_inverter_dc_power,1030,2024-07-21 07:45:49.244
sensor.fimer_inverter_dc_power,1040,2024-07-21 07:46:19.177
sensor.fimer_inverter_dc_power,1050,2024-07-21 07:46:49.301
sensor.fimer_inverter_dc_power,1060,2024-07-21 07:47:19.328
sensor.fimer_inverter_dc_power,1080,2024-07-21 07:47:49.262
sensor.fimer_inverter_dc_power,1070,2024-07-21 07:48:19.345
sensor.fimer_inverter_dc_power,1080,2024-07-21 07:48:49.355
sensor.fimer_inverter_dc_power,1090,2024-07-21 07:49:19.158
sensor.fimer_inverter_dc_power,1110,2024-07-21 07:49:49.183
sensor.fimer_inverter_dc_power,1100,2024-07-21 07:50:19.368
sensor.fimer_inverter_dc_power,1120,2024-07-21 07:50:49.274
sensor.fimer_inverter_dc_power,1130,2024-07-21 07:51:49.159
sensor.fimer_inverter_dc_power,1140,2024-07-21 07:52:19.276
sensor.fimer_inverter_dc_power,1120,2024-07-21 07:52:49.249
sensor.fimer_inverter_dc_power,1140,2024-07-21 07:53:19.358
sensor.fimer_inverter_dc_power,1150,2024-07-21 07:54:19.249
sensor.fimer_inverter_dc_power,1160,2024-07-21 07:55:19.260
sensor.fimer_inverter_dc_power,1170,2024-07-21 07:55:49.262
sensor.fimer_inverter_dc_power,1200,2024-07-21 07:56:49.399
sensor.fimer_inverter_dc_power,1180,2024-07-21 07:57:19.263
sensor.fimer_inverter_dc_power,1210,2024-07-21 07:57:49.215
sensor.fimer_inverter_dc_power,1220,2024-07-21 07:58:19.291
